text,label,source,model,topic,page_title
"Brian Nicholas McFadden (lahir 12 April 1980) adalah seorang penyanyi pop dan presenter televisi Irlandia. Ia menjadi terkenal pada tahun 1998 sebagai anggota boy band Irlandia Westlife. Setelah keluar dari grup pada tahun 2004, McFadden merilis album solo perdananya, Irish Son. Sejak saat itu, ia telah merilis empat album studio: Set in Stone (2008), Wall of Soundz (2010), The Irish Connection (2013), dan Otis (2019). Pada tahun 2016, Brian bekerja sama dengan Keith Duffy dari Boyzone untuk membentuk Boyzlife dan saat ini telah memiliki dua album hingga saat ini, ""Strings Attached"" (2020) dan ""Old School"" (2022).",0,Wikipedia,,kesehatan mental,Brian McFadden
"Kebijakan lingkungan hidup di Indonesia dituangkan dalam bentuk produk hukum seperti undang-undang hingga aturan turunnya seperti Perpres, Perpu, hingga Perda. Ada banyak tantangan tentang kebijakan lingkungan hidup di Indonesia, seperti Penegakan Hukum, Konflik Agraria, kerusakan hutan, dsb.
Kebijakan lingkungan hidup disini sebagai hal yang bersifat publik dan produk dari pemerintah Indonesia. yang ditujukan untuk memberikan arah dan pedoman untuk melakukan suatu tindakan atau tidak melakukan tindakan yang berkaitan dengan proses penyelenggaraan pemerintahan termasuk masalah-masalah yang berhubungan dengan masyarakat. Salah satu yang menjadi pondasi kebijakan pemerintah di Indonesia adalah Kebijakan di bidang Lingkungan Hidup.
Undang-Undang Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup (disingkat UU PPLH) menjadi turunan dari Undang-Undang Dasar Negara Republik Indonesia 1945 Pasal 28H ayat (1) sebagai hukum dasar pengelolaan lingkungan hidup. Dasar hukum perlindungan dan pengelolaan lingkungan hidup sebagai Undang-Undang PPLH serta memberikan penegakan hukum pengelolaan lingkungan hidup. Yang juga mencakup pemeliharaan lingkungan hidup, pengendalian, pengawasan, pemanfaatan, serta penegakan hukum, juga melanggar ketentuan yang diatur dalam Undang-Undang PPLH. Kemudian, pada tahun",0,Wikipedia,,perlindungan lingkungan,Kebijakan lingkungan hidup di Indonesia
"Sore: Istri dari Masa Depan adalah film fantasi ilmiah romantis Indonesia tahun 2025 yang disutradarai oleh Yandy Laurens berdasarkan serial web berjudul sama. Film ini dibintangi oleh Dion Wiyoko yang kembali memerankan Jonathan seperti dalam serial web dan Sheila Dara Aisha yang memerankan Sore menggantikan Tika Bravani. Mengisahkan tentang seorang wanita bernama Sore yang tiba-tiba muncul di dalam kehidupan Jonathan dan mengaku sebagai istrinya dari masa depan. Sore: Istri dari Masa Depan ditayangkan di bioskop Indonesia pada 10 Juli 2025 dan sukses meraih 3,1 juta penonton menjadikannya film Indonesia kelima terlaris di tahun 2025. Film ini juga memenangkan lima penghargaan dalam Festival Film Indonesia 2025 termasuk Sutradara Terbaik dan Pemeran Utama Perempuan Terbaik.",0,Wikipedia,,gaya hidup sehat,Sore: Istri dari Masa Depan (film)
"**Kesehatan Mental**

Kesehatan mental adalah kondisi kesejahteraan psikologis, emosional, dan sosial seseorang yang memengaruhi cara individu berpikir, merasa, bertindak, serta bagaimana mereka menghadapi stres, berinteraksi dengan orang lain, dan mengambil keputusan. Kondisi ini merupakan komponen integral dari kesehatan secara keseluruhan, karena stabilitas mental berkontribusi langsung terhadap fungsi fisik dan kualitas hidup seseorang.

Kesehatan mental dipengaruhi oleh interaksi kompleks antara faktor biologis, psikologis, dan lingkungan. Faktor biologis mencakup genetika dan kimia otak; faktor psikologis melibatkan pola pikir dan mekanisme koping; sementara faktor lingkungan meliputi pengalaman hidup, seperti trauma, kondisi sosial ekonomi, serta kualitas hubungan interpersonal.

Gangguan kesehatan mental terjadi ketika terdapat perubahan signifikan pada pola pikir, perasaan, atau perilaku yang menyebabkan hambatan dalam fungsi harian. Beberapa bentuk gangguan yang umum ditemukan meliputi gangguan kecemasan, depresi, gangguan bipolar, dan skizofrenia. Gejala-gejala ini sering kali bermanifestasi dalam bentuk perubahan suasana hati yang ekstrem, penarikan diri dari lingkungan sosial, atau gangguan tidur dan nafsu makan.

Pemeliharaan kesehatan mental dapat dilakukan melalui berbagai pendekatan. Upaya preventif meliputi penerapan gaya hidup sehat, manajemen stres yang efektif, dan pembangunan sistem dukungan sosial yang kuat. Bagi individu yang mengalami gangguan klinis, intervensi profesional sangat diperlukan. Penanganan medis biasanya melibatkan psikoterapi (seperti terapi perilaku kognitif) dan, dalam beberapa kasus, farmakoterapi dengan pengawasan psikiater.

Secara sistemik, peningkatan literasi kesehatan mental di masyarakat bertujuan untuk mengurangi stigma sosial, sehingga individu yang membutuhkan bantuan dapat mengakses layanan kesehatan mental tanpa rasa takut atau diskriminasi. Penanganan dini dan tepat merupakan kunci utama dalam mencapai pemulihan dan menjaga stabilitas fungsional individu.",1,AI,models/gemma-4-31b-it,kesehatan mental,
"Thasorn Klinnium (Thai: ทสร กลิ่นเนียม; lahir 25 April 1998), secara profesional dikenal sebagai Emi Thasorn atau Emi (Thai: เอมี่), adalah seorang aktris dan penyanyi berkebangsaan Thailand keturunan Tionghoa. Ia dikenal karena perannya dalam serial Girl From Nowhere 2 (2021), Beauty Newbie (2024), dan Us (2025).",0,Wikipedia,,peran teknologi dalam pendidikan,Thasorn Klinnium
"Hong Kong (Hanzi: 香港, Kanton: [hœ́ːŋ.kɔ̌ːŋ] ), resminya Wilayah Administratif Khusus Hong Kong di Republik Rakyat Tiongkok, adalah sebuah daerah administratif khusus yang terletak di bagian tenggara Tiongkok di estuari Sungai Mutiara. Hong Kong terkenal dengan perkembangannya yang pesat, pelabuhan laut dalam alami, dan kepadatan penduduk yang sangat tinggi (sekitar 7 juta jiwa pada lahan seluas 1.104 km2 (426 sq mi). Penduduk Hong Kong saat ini terdiri dari 93.6% etnis Tionghoa. Sebagian besar dari penduduk Hong Kong yang berbahasa Kanton berasal dari Provinsi Guangdong, di mana penduduk dengan keterampilan melarikan diri ketika pemerintah Komunis menguasai Tiongkok tahun 1949.
Setelah kekalahan Tiongkok di Perang Opium Pertama (1839–42) dari Kerajaan Inggris, Hong Kong menjadi jajahan Inggris dengan diserahkannya Pulau Hong Kong, kemudian diikuti Semenanjung Kowloon tahun 1860 dan penyewaan 99 tahun New Territories tahun 1898. Setelah diduduki oleh Jepang selama Perang Dunia II (1941–45), Inggris kembali menguasai Hong Kong hingga 30 Juni 1997. Sebagai hasil dari perundingan antara Tiongkok dan Inggris, Hong Kong diserahkan ke Republik Rakyat Tiongkok melalui Deklarasi Bersama Tiongkok-Britania tahun 1984. Kota ini menjadi Daerah Administratif Khusus pertama di Tiongkok melalui asas ""satu negara, dua sistem"".
Di akhir 1970-an, Hong Kong berkembang menjadi penghubung perdagangan utama dan pusat keuangan dunia, dan dianggap sebagai salah satu kota global. Kota ini menempati ur",0,Wikipedia,,sistem pendidikan,Hong Kong
"Hukum privasi informasi merupakan sebuah hak yang dimiliki oleh setiap individu yang berkaitan dengan informasi yang dipublikasikan melalui media informasi baik secara langsung maupun secara tidak langsung yang kepentingannya digunakan untuk kepentingan individu itu sendiri maupun untuk kepentingan khalayak umum.
Hukum privasi merupakan suatu hak yang tidak dapat terpisahkan dari setiap individu, privasi merupakan suatu hak yang tidak dapat dipisahkan dengan Hak Asasi manusia itu sendiri. Beberapa negara telah mengakui suatu privasi sebagai suatu hak konstitusional yang harus dilakukan perlindungan dengan suatu konsep habeas data. Negara yang telah mengakui perlu dilakukannya suatu perlindungan mengenai privasi yaitu, Portugal, Armenia, Filipina, Timor-Leste, Colombia, Argentina.
Informasi berdasarkan Undang - Undang Republik Indonesia Nomor 27 Tahun 2022 adalah keterangan, pernyataan, gagasan, dan tanda-tanda yang mengandung nilai, makna, dan pesan, baik data, fakta, maupun penjelasannya yang dapat dilihat, didengar, dan dibaca yang disajikan dalam berbagai kemasan dan format sesuai dengan perkembangan teknologi informasi dan komunikasi secara elektronik ataupun non elektronik. 
Pengaturan mengenai hukum privasi informasi sudah banyak dilakukan oleh banyak negara di dunia, salah satu konvensi Internasional yang mengatur mengenai privasi informasi adalah GDPR. General Data Protection Regulation (GDPR) merupakan konvensi yang mengatur mengenai privasi informasi untuk Uni Eropa",0,Wikipedia,,privasi data,Hukum privasi informasi
"**Mengenal Teknologi Blockchain: Sistem Pencatatan Digital yang Aman**

Blockchain adalah teknologi penyimpanan data digital yang berfungsi sebagai buku kas besar (*ledger*) yang terdesentralisasi. Berbeda dengan sistem tradisional yang mengandalkan otoritas pusat seperti bank atau pemerintah, blockchain mendistribusikan salinan data ke seluruh jaringan komputer yang saling terhubung di seluruh dunia.

Secara teknis, data dalam blockchain dikelompokkan dalam ""blok"". Setiap blok berisi kumpulan transaksi yang terikat satu sama lain menggunakan kode kriptografi unik yang disebut *hash*. Ketika sebuah blok telah terisi penuh, ia akan dikunci dan terhubung secara permanen ke blok sebelumnya, sehingga membentuk sebuah ""rantai"" (*chain*). Inilah alasan mengapa teknologi ini dinamakan blockchain.

Kekuatan utama blockchain terletak pada tiga aspek: transparansi, keamanan, dan imutabilitas. Karena data tersebar di banyak titik, sangat sulit bagi pihak tidak bertanggung jawab untuk memanipulasi informasi tanpa persetujuan mayoritas jaringan. Sekali data tercatat dan diverifikasi, informasi tersebut tidak dapat diubah atau dihapus, sehingga menciptakan tingkat kepercayaan yang tinggi antar pengguna tanpa perlu perantara.

Meskipun populer sebagai fondasi mata uang kripto seperti Bitcoin, potensi blockchain jauh lebih luas. Teknologi ini dapat diterapkan dalam manajemen rantai pasok untuk melacak asal produk secara akurat, sistem pemungutan suara elektronik yang anti-curang, hingga pengelolaan rekam medis pasien yang lebih privat dan efisien.

Dengan menghilangkan ketergantungan pada pihak ketiga, blockchain berpotensi merevolusi cara manusia bertukar nilai dan informasi secara lebih transparan, cepat, dan aman di era digital.",1,AI,models/gemma-4-31b-it,teknologi blockchain,
"Tuberkulosis (Tuberculosis, disingkat Tbc), atau Tb (singkatan dari ""Tubercle bacillus"") atau kematus merupakan penyakit menular yang umum, serta dalam banyak kasus bersifat mematikan. Penyakit ini disebabkan oleh berbagai strain mikobakteria, umumnya Mycobacterium tuberculosis (disingkat ""MTb"" atau ""MTbc""). Tuberkulosis biasanya menyerang paru-paru, tetapi juga bisa berdampak pada bagian tubuh lainnya. Tuberkulosis menyebar melalui udara ketika seseorang dengan infeksi TB aktif batuk, bersin, atau menyebarkan butiran ludah mereka melalui udara.
Infeksi TB sebagian besar bersifat tanpa gejala dan laten (sering disebut TB laten). Namun, satu dari sepuluh kasus infeksi laten berkembang menjadi penyakit aktif (TB aktif). Bila tuberkulosis tidak diobati, maka lebih dari 50% orang yang terinfeksi bisa meninggal. Sebelum ditemukannya antibiotik yang ampuh untuk menangani TB (sekitar tahun 1900 awal) diperkirakan 1 dari 7 orang di dunia meninggal karena penyakit ini.
Gejala klasik infeksi TB aktif yaitu batuk kronis dengan bercak darah pada sputum atau dahak, demam, berkeringat di malam hari, dan berat badan turun. (dahulu TB disebut penyakit ""konsumsi"" karena orang-orang yang terinfeksi biasanya mengalami kemerosotan berat badan). Infeksi pada organ lain menimbulkan gejala yang bermacam-macam. Diagnosis TB aktif bergantung pada hasil radiologi (biasanya melalui rontgen dada) serta pemeriksaan fisik dan dilakukan kultur mikrobiologis. Sementara itu, diagnosis TB laten bergantung pad",0,Wikipedia,,vaksinasi,Tuberkulosis
"Perusahaan Transportasi Publik Saudi (bahasa Arab: [الشركة السعودية للنقل الجماعي asy-Syarikah as-Su'udiyyah li an-Naqli al-Jima'i] Galat: {{Lang}}: text has italic markup (bantuan), bahasa Inggris: Saudi Public Transportation Company disingkat SAPTCOcode: en is deprecated ) adalah sebuah perseroan terbatas di Arab Saudi yang berdiri pada tahun 1979 dan modal perusahaan ini mencapai satu juta riyal Arab Saudi. Perusahaan ini bertujuan untuk melayani penumpang menggunakan bus melalui jalan raya utama baik perjalanan dalam kota maupun perjalanan antar kota. Pada pertemuan sidang umum luar biasa ke-11 yang berlangsung pada 24 April 2007 telah disepakati penambahan modal untuk perusahaan sebesar 1.250.000 riyal Arab Saudi.",0,Wikipedia,,transportasi publik,Perusahaan Transportasi Publik Saudi
